course_title,topic,platform,url,recommended_for_roles,duration_hours_est
Clinical Research Methods - Certificate,Clinical Research Methods,YouTube,https://youtube.org/clinical-research-methods---certificate,"Project Manager, Financial Analyst, Occupational Therapist",80
Civil Engineering Fundamentals - Advanced,Civil Engineering Fundamentals,edX,https://edx.org/civil-engineering-fundamentals---advanced,"Operations Manager, Landscape Architect, AI Researcher, Mobile Developer (iOS)",8
Data Visualization - Intro,Data Visualization,LinkedIn Learning,https://linkedinlearning.org/data-visualization---intro,"Test Automation Engineer, Speech Recognition Engineer, NLP Engineer",8
Digital Marketing - Certificate,Digital Marketing,MIT OCW,https://mitocw.org/digital-marketing---certificate,"Landscape Architect, Procurement Specialist, Paralegal",12
SQL and Databases - Intro,SQL and Databases,edX,https://edx.org/sql-and-databases---intro,"Restaurant Manager, Research Associate",40
Node.js APIs - Advanced,Node.js APIs,Udemy,https://udemy.org/node.js-apis---advanced,"Environmental Scientist, Embedded Systems Engineer, Business Development Manager, Product Manager",4
Sustainability and ESG - Intro,Sustainability and ESG,LinkedIn Learning,https://linkedinlearning.org/sustainability-and-esg---intro,"Legal Counsel, Accountant",80
Civil Engineering Fundamentals - Intro,Civil Engineering Fundamentals,Fast.ai,https://fast.ai.org/civil-engineering-fundamentals---intro,"Site Reliability Engineer, Digital Marketing Specialist",12
Teaching Strategies - Certificate,Teaching Strategies,Fast.ai,https://fast.ai.org/teaching-strategies---certificate,"Cloud Engineer, Systems Engineer",8
Civil Engineering Fundamentals - Intermediate,Civil Engineering Fundamentals,Pluralsight,https://pluralsight.org/civil-engineering-fundamentals---intermediate,"Architect, Logistics Coordinator, Backend Developer, Operations Manager",80
Deep Learning - Advanced,Deep Learning,Udemy,https://udemy.org/deep-learning---advanced,Archivist,24
Video Editing - Advanced,Video Editing,Pluralsight,https://pluralsight.org/video-editing---advanced,"Database Administrator, Content Strategist",80
Adobe Photoshop Essentials - Intro,Adobe Photoshop Essentials,Fast.ai,https://fast.ai.org/adobe-photoshop-essentials---intro,Architect,24
Nutrition and Dietetics - Intermediate,Nutrition and Dietetics,YouTube,https://youtube.org/nutrition-and-dietetics---intermediate,"Event Planner, Robotics Engineer, Database Administrator, Sustainability Analyst",24
Civil Engineering Fundamentals - Intermediate,Civil Engineering Fundamentals,LinkedIn Learning,https://linkedinlearning.org/civil-engineering-fundamentals---intermediate,"Instructional Designer, Industrial Designer, Business Development Manager",40
Deep Learning - Bootcamp,Deep Learning,Udemy,https://udemy.org/deep-learning---bootcamp,"Urban Planner, Property Manager",8
Civil Engineering Fundamentals - Certificate,Civil Engineering Fundamentals,edX,https://edx.org/civil-engineering-fundamentals---certificate,"Test Automation Engineer, Social Media Manager, Food Technologist",24
Public Health Basics - Certificate,Public Health Basics,edX,https://edx.org/public-health-basics---certificate,"Compliance Officer, Tax Consultant",24
Deep Learning - Intro,Deep Learning,Kaggle,https://kaggle.org/deep-learning---intro,Pharmacist,24
DevOps Fundamentals - Intermediate,DevOps Fundamentals,Kaggle,https://kaggle.org/devops-fundamentals---intermediate,"Interior Designer, Mobile Developer (Android), Photographer, Business Development Manager",12
NLP with Transformers - Certificate,NLP with Transformers,Fast.ai,https://fast.ai.org/nlp-with-transformers---certificate,"Robotics Engineer, Chemical Engineer, Customer Success Manager",4
Financial Modeling - Certificate,Financial Modeling,Kaggle,https://kaggle.org/financial-modeling---certificate,"Counselor, Chef, Interior Designer",12
Deep Learning - Bootcamp,Deep Learning,Coursera,https://coursera.org/deep-learning---bootcamp,"Robotics Engineer, Product Manager, Network Engineer",80
Negotiation Skills - Advanced,Negotiation Skills,Fast.ai,https://fast.ai.org/negotiation-skills---advanced,"Veterinarian, Financial Analyst",12
Event Management Basics - Bootcamp,Event Management Basics,LinkedIn Learning,https://linkedinlearning.org/event-management-basics---bootcamp,"Frontend Developer, Site Reliability Engineer",12
Culinary Arts - Intro,Culinary Arts,LinkedIn Learning,https://linkedinlearning.org/culinary-arts---intro,"Quality Assurance Engineer, Policy Analyst, SEO Specialist",40
Nutrition and Dietetics - Advanced,Nutrition and Dietetics,MIT OCW,https://mitocw.org/nutrition-and-dietetics---advanced,"Clinical Psychologist, Mobile Developer (Android), Speech Recognition Engineer",40
Public Health Basics - Certificate,Public Health Basics,Pluralsight,https://pluralsight.org/public-health-basics---certificate,"Sales Manager, Graphic Designer, Mechanical Engineer, Content Strategist",4
Event Management Basics - Advanced,Event Management Basics,Kaggle,https://kaggle.org/event-management-basics---advanced,Site Reliability Engineer,8
Machine Learning - Bootcamp,Machine Learning,Pluralsight,https://pluralsight.org/machine-learning---bootcamp,"Risk Analyst, Clinical Psychologist, Product Manager",24
AWS Cloud Practitioner - Intermediate,AWS Cloud Practitioner,Kaggle,https://kaggle.org/aws-cloud-practitioner---intermediate,"College Lecturer, Accountant",80
Animation Basics - Intro,Animation Basics,LinkedIn Learning,https://linkedinlearning.org/animation-basics---intro,Electrical Engineer,12
Video Editing - Advanced,Video Editing,Fast.ai,https://fast.ai.org/video-editing---advanced,"Financial Analyst, Animator, Interior Designer, Compliance Officer",4
Adobe Photoshop Essentials - Intro,Adobe Photoshop Essentials,MIT OCW,https://mitocw.org/adobe-photoshop-essentials---intro,"Human Resources Manager, Backend Developer, Content Strategist",80
SEO Fundamentals - Bootcamp,SEO Fundamentals,Coursera,https://coursera.org/seo-fundamentals---bootcamp,"Clinical Psychologist, Computer Vision Engineer, Industrial Designer",4
Negotiation Skills - Certificate,Negotiation Skills,Coursera,https://coursera.org/negotiation-skills---certificate,"Robotics Engineer, Audio Engineer, Content Strategist, Compliance Officer",24
Machine Learning - Advanced,Machine Learning,Fast.ai,https://fast.ai.org/machine-learning---advanced,"Environmental Scientist, Event Planner, Real Estate Agent, Civil Engineer",4
Financial Modeling - Bootcamp,Financial Modeling,MIT OCW,https://mitocw.org/financial-modeling---bootcamp,"Public Health Specialist, Clinical Psychologist",8
Sustainability and ESG - Intermediate,Sustainability and ESG,Fast.ai,https://fast.ai.org/sustainability-and-esg---intermediate,"Graphic Illustrator, Real Estate Agent, Nutritionist, Civil Engineer",24
Negotiation Skills - Intermediate,Negotiation Skills,edX,https://edx.org/negotiation-skills---intermediate,Art Director,8
Robotics Programming - Intro,Robotics Programming,YouTube,https://youtube.org/robotics-programming---intro,"Human Resources Manager, Account Executive",24
Negotiation Skills - Bootcamp,Negotiation Skills,Udemy,https://udemy.org/negotiation-skills---bootcamp,"Electrical Engineer, Audio Engineer",12
Figma UI/UX - Intro,Figma UI/UX,edX,https://edx.org/figma-ui/ux---intro,"Property Manager, Social Media Manager, Talent Acquisition Specialist, Customer Success Manager",12
Data Visualization - Intermediate,Data Visualization,Coursera,https://coursera.org/data-visualization---intermediate,"Embedded Systems Engineer, UX Designer",8
Agile Scrum - Advanced,Agile Scrum,Pluralsight,https://pluralsight.org/agile-scrum---advanced,"Financial Analyst, Teacher (Secondary), Chemical Engineer, Physician (General)",24
Sustainability and ESG - Intermediate,Sustainability and ESG,Udemy,https://udemy.org/sustainability-and-esg---intermediate,Nutritionist,4
Digital Marketing - Intermediate,Digital Marketing,Kaggle,https://kaggle.org/digital-marketing---intermediate,"Archivist, Accountant, Instructional Designer, Embedded Systems Engineer",8
GCP Fundamentals - Intermediate,GCP Fundamentals,YouTube,https://youtube.org/gcp-fundamentals---intermediate,"Recruiter, Logistics Coordinator",4
Project Management - Bootcamp,Project Management,LinkedIn Learning,https://linkedinlearning.org/project-management---bootcamp,Speech Recognition Engineer,4
NLP with Transformers - Intermediate,NLP with Transformers,edX,https://edx.org/nlp-with-transformers---intermediate,"Customer Success Manager, Machine Learning Engineer",12
Financial Modeling - Certificate,Financial Modeling,Udemy,https://udemy.org/financial-modeling---certificate,"Policy Analyst, Civil Engineer, Photographer",8
UX Design - Intermediate,UX Design,MIT OCW,https://mitocw.org/ux-design---intermediate,"Business Development Manager, Financial Analyst, Restaurant Manager",12
Deep Learning - Certificate,Deep Learning,Fast.ai,https://fast.ai.org/deep-learning---certificate,Paralegal,4
SQL and Databases - Certificate,SQL and Databases,LinkedIn Learning,https://linkedinlearning.org/sql-and-databases---certificate,Operations Manager,80
Content Strategy - Bootcamp,Content Strategy,LinkedIn Learning,https://linkedinlearning.org/content-strategy---bootcamp,"Risk Analyst, Full Stack Developer, Audio Engineer",40
SQL and Databases - Certificate,SQL and Databases,MIT OCW,https://mitocw.org/sql-and-databases---certificate,"Quality Assurance Engineer, Property Manager",8
Frontend Web Development - Bootcamp,Frontend Web Development,Pluralsight,https://pluralsight.org/frontend-web-development---bootcamp,"Landscape Architect, Social Media Manager, Computer Vision Engineer, Graphic Illustrator",80
Data Ethics - Certificate,Data Ethics,YouTube,https://youtube.org/data-ethics---certificate,Archivist,4
Culinary Arts - Advanced,Culinary Arts,Pluralsight,https://pluralsight.org/culinary-arts---advanced,"Property Manager, Social Media Manager",8
Animation Basics - Advanced,Animation Basics,MIT OCW,https://mitocw.org/animation-basics---advanced,"Cloud Engineer, Security Analyst, Learning & Development Specialist",80
DevOps Fundamentals - Intro,DevOps Fundamentals,Pluralsight,https://pluralsight.org/devops-fundamentals---intro,"Database Administrator, Robotics Engineer, Sustainability Analyst, Business Development Manager",12
Negotiation Skills - Bootcamp,Negotiation Skills,Udemy,https://udemy.org/negotiation-skills---bootcamp,Civil Engineer,24
Leadership and Management - Certificate,Leadership and Management,Fast.ai,https://fast.ai.org/leadership-and-management---certificate,"Clinical Psychologist, Investment Analyst, Teacher (Primary), Audio Engineer",4
Figma UI/UX - Certificate,Figma UI/UX,Udemy,https://udemy.org/figma-ui/ux---certificate,"Motion Graphics Designer, Mobile Developer (Android), Video Editor",40
Structural Analysis - Bootcamp,Structural Analysis,YouTube,https://youtube.org/structural-analysis---bootcamp,"Environmental Scientist, Data Analyst, Operations Manager",12
Python for Everybody - Intro,Python for Everybody,Fast.ai,https://fast.ai.org/python-for-everybody---intro,Pharmacist,24
Culinary Arts - Certificate,Culinary Arts,edX,https://edx.org/culinary-arts---certificate,Graphic Designer,40
Culinary Arts - Intro,Culinary Arts,Coursera,https://coursera.org/culinary-arts---intro,"Marketing Manager, Project Manager, SEO Specialist, Account Executive",4
React Essentials - Intro,React Essentials,YouTube,https://youtube.org/react-essentials---intro,Robotics Engineer,40
Project Management - Bootcamp,Project Management,Udemy,https://udemy.org/project-management---bootcamp,"Paralegal, Landscape Architect, Graphic Illustrator, Occupational Therapist",40
Figma UI/UX - Intro,Figma UI/UX,Fast.ai,https://fast.ai.org/figma-ui/ux---intro,"Mobile Developer (iOS), Data Analyst",8
Sustainability and ESG - Advanced,Sustainability and ESG,Coursera,https://coursera.org/sustainability-and-esg---advanced,"Urban Planner, Art Director, Business Development Manager, Business Analyst",8
Agile Scrum - Intro,Agile Scrum,LinkedIn Learning,https://linkedinlearning.org/agile-scrum---intro,"SEO Specialist, Business Analyst, Quality Assurance Engineer",4
Deep Learning - Intro,Deep Learning,MIT OCW,https://mitocw.org/deep-learning---intro,"Quality Assurance Engineer, Learning & Development Specialist, Research Associate, Civil Engineer",4
Content Strategy - Intro,Content Strategy,Kaggle,https://kaggle.org/content-strategy---intro,"Tax Consultant, Computer Vision Engineer, Physician (General), Robotics Engineer",80
Compliance Management - Advanced,Compliance Management,Coursera,https://coursera.org/compliance-management---advanced,Network Engineer,4
Instructional Design - Intro,Instructional Design,LinkedIn Learning,https://linkedinlearning.org/instructional-design---intro,"Procurement Specialist, Marketing Manager, Veterinarian",24
Compliance Management - Bootcamp,Compliance Management,LinkedIn Learning,https://linkedinlearning.org/compliance-management---bootcamp,"Museum Curator, Sales Manager",40
Embedded Systems - Intro,Embedded Systems,Pluralsight,https://pluralsight.org/embedded-systems---intro,Instructional Designer,8
NLP with Transformers - Advanced,NLP with Transformers,LinkedIn Learning,https://linkedinlearning.org/nlp-with-transformers---advanced,"Investment Analyst, Content Strategist",24
Clinical Research Methods - Bootcamp,Clinical Research Methods,Pluralsight,https://pluralsight.org/clinical-research-methods---bootcamp,"Teacher (Secondary), Backend Developer, Teacher (Primary), Speech Recognition Engineer",24
UX Design - Advanced,UX Design,YouTube,https://youtube.org/ux-design---advanced,"Clinical Psychologist, Medical Researcher, Architect",24
Data Visualization - Intermediate,Data Visualization,Pluralsight,https://pluralsight.org/data-visualization---intermediate,"Computer Vision Engineer, Audio Engineer, Archivist, Operations Manager",40
React Essentials - Bootcamp,React Essentials,Coursera,https://coursera.org/react-essentials---bootcamp,"Security Analyst, Dentist",8
Robotics Programming - Bootcamp,Robotics Programming,Kaggle,https://kaggle.org/robotics-programming---bootcamp,"Test Automation Engineer, Backend Developer, Property Manager, College Lecturer",12
Python for Everybody - Bootcamp,Python for Everybody,LinkedIn Learning,https://linkedinlearning.org/python-for-everybody---bootcamp,"Motion Graphics Designer, Graphic Illustrator, Public Health Specialist",4
Project Management - Advanced,Project Management,edX,https://edx.org/project-management---advanced,"Computer Vision Engineer, Nutritionist, Talent Acquisition Specialist",4
AWS Cloud Practitioner - Advanced,AWS Cloud Practitioner,Udemy,https://udemy.org/aws-cloud-practitioner---advanced,Quality Assurance Engineer,40
AWS Cloud Practitioner - Advanced,AWS Cloud Practitioner,Coursera,https://coursera.org/aws-cloud-practitioner---advanced,"DevOps Engineer, Teacher (Secondary), Supply Chain Manager",8
Node.js APIs - Advanced,Node.js APIs,YouTube,https://youtube.org/node.js-apis---advanced,"Industrial Designer, Motion Graphics Designer, Security Analyst",80
Compliance Management - Bootcamp,Compliance Management,LinkedIn Learning,https://linkedinlearning.org/compliance-management---bootcamp,Database Administrator,4
Clinical Research Methods - Intermediate,Clinical Research Methods,MIT OCW,https://mitocw.org/clinical-research-methods---intermediate,Cloud Engineer,80
Clinical Research Methods - Certificate,Clinical Research Methods,edX,https://edx.org/clinical-research-methods---certificate,"Materials Scientist, Curriculum Developer",4
GCP Fundamentals - Intro,GCP Fundamentals,YouTube,https://youtube.org/gcp-fundamentals---intro,"Business Development Manager, Pharmacist, Counselor",80
Content Strategy - Certificate,Content Strategy,YouTube,https://youtube.org/content-strategy---certificate,Frontend Developer,4
Sustainability and ESG - Bootcamp,Sustainability and ESG,Kaggle,https://kaggle.org/sustainability-and-esg---bootcamp,Policy Analyst,8
React Essentials - Intro,React Essentials,YouTube,https://youtube.org/react-essentials---intro,"Procurement Specialist, Computer Vision Engineer",12
Node.js APIs - Intro,Node.js APIs,YouTube,https://youtube.org/node.js-apis---intro,"UX Designer, Nutritionist, Investment Analyst",4
Compliance Management - Bootcamp,Compliance Management,Udemy,https://udemy.org/compliance-management---bootcamp,"Materials Scientist, UX Designer, Product Manager",8
Civil Engineering Fundamentals - Bootcamp,Civil Engineering Fundamentals,LinkedIn Learning,https://linkedinlearning.org/civil-engineering-fundamentals---bootcamp,"Archivist, Policy Analyst",8
SQL and Databases - Intermediate,SQL and Databases,Coursera,https://coursera.org/sql-and-databases---intermediate,Business Analyst,12
UX Design - Bootcamp,UX Design,YouTube,https://youtube.org/ux-design---bootcamp,"Test Automation Engineer, UX Designer, Operations Manager, Dentist",80
Machine Learning - Advanced,Machine Learning,YouTube,https://youtube.org/machine-learning---advanced,Event Planner,40
Machine Learning - Advanced,Machine Learning,Kaggle,https://kaggle.org/machine-learning---advanced,"Network Engineer, Robotics Engineer, Animator",4
Leadership and Management - Intermediate,Leadership and Management,YouTube,https://youtube.org/leadership-and-management---intermediate,"Legal Counsel, AI Researcher, Pharmacist",12
Compliance Management - Intro,Compliance Management,Kaggle,https://kaggle.org/compliance-management---intro,"Nurse, Civil Engineer, Machine Learning Engineer, Physician (General)",12
Data Ethics - Certificate,Data Ethics,Udemy,https://udemy.org/data-ethics---certificate,"Photographer, Graphic Illustrator, Audio Engineer, Tax Consultant",24
GCP Fundamentals - Bootcamp,GCP Fundamentals,edX,https://edx.org/gcp-fundamentals---bootcamp,Physician (General),40
Agile Scrum - Bootcamp,Agile Scrum,Udemy,https://udemy.org/agile-scrum---bootcamp,"Social Media Manager, Legal Counsel, Network Engineer",40
Nutrition and Dietetics - Bootcamp,Nutrition and Dietetics,YouTube,https://youtube.org/nutrition-and-dietetics---bootcamp,"Security Analyst, Backend Developer, Event Planner",4
Data Visualization - Intro,Data Visualization,Udemy,https://udemy.org/data-visualization---intro,"Landscape Architect, Nutritionist",24
Culinary Arts - Intro,Culinary Arts,Udemy,https://udemy.org/culinary-arts---intro,"Research Associate, Network Engineer, Restaurant Manager, Security Analyst",80
SQL and Databases - Advanced,SQL and Databases,Coursera,https://coursera.org/sql-and-databases---advanced,Security Analyst,80
Agile Scrum - Certificate,Agile Scrum,MIT OCW,https://mitocw.org/agile-scrum---certificate,"Teacher (Primary), Nurse, Social Media Manager, Physician (General)",24
Civil Engineering Fundamentals - Bootcamp,Civil Engineering Fundamentals,Udemy,https://udemy.org/civil-engineering-fundamentals---bootcamp,"Social Media Manager, Audio Engineer",4
SQL and Databases - Bootcamp,SQL and Databases,Udemy,https://udemy.org/sql-and-databases---bootcamp,"Chef, Materials Scientist, Logistics Coordinator",80
Financial Modeling - Intermediate,Financial Modeling,edX,https://edx.org/financial-modeling---intermediate,Graphic Illustrator,24
Figma UI/UX - Certificate,Figma UI/UX,YouTube,https://youtube.org/figma-ui/ux---certificate,"Museum Curator, Machine Learning Engineer, Interior Designer",24
Event Management Basics - Intermediate,Event Management Basics,LinkedIn Learning,https://linkedinlearning.org/event-management-basics---intermediate,"Marketing Manager, UI Designer, Sales Manager",4
SEO Fundamentals - Intro,SEO Fundamentals,edX,https://edx.org/seo-fundamentals---intro,"Accountant, Human Resources Manager",4
Agile Scrum - Bootcamp,Agile Scrum,Kaggle,https://kaggle.org/agile-scrum---bootcamp,"Research Associate, Tax Consultant",4
AWS Cloud Practitioner - Bootcamp,AWS Cloud Practitioner,edX,https://edx.org/aws-cloud-practitioner---bootcamp,"Data Analyst, Policy Analyst, Nurse",8
Public Health Basics - Intermediate,Public Health Basics,Coursera,https://coursera.org/public-health-basics---intermediate,"Project Manager, Clinical Psychologist, Customer Success Manager",12
Nutrition and Dietetics - Certificate,Nutrition and Dietetics,LinkedIn Learning,https://linkedinlearning.org/nutrition-and-dietetics---certificate,Business Analyst,8
Data Visualization - Certificate,Data Visualization,Pluralsight,https://pluralsight.org/data-visualization---certificate,Financial Analyst,40
Machine Learning - Advanced,Machine Learning,MIT OCW,https://mitocw.org/machine-learning---advanced,"DevOps Engineer, Content Strategist, Product Manager",40
Frontend Web Development - Intro,Frontend Web Development,YouTube,https://youtube.org/frontend-web-development---intro,"Test Automation Engineer, Teacher (Secondary)",40
Clinical Research Methods - Certificate,Clinical Research Methods,Fast.ai,https://fast.ai.org/clinical-research-methods---certificate,"Speech Recognition Engineer, Talent Acquisition Specialist, Content Strategist, Accountant",24
Leadership and Management - Intro,Leadership and Management,MIT OCW,https://mitocw.org/leadership-and-management---intro,"Veterinarian, Learning & Development Specialist",24
Agile Scrum - Certificate,Agile Scrum,Kaggle,https://kaggle.org/agile-scrum---certificate,Research Associate,4
Financial Modeling - Intro,Financial Modeling,edX,https://edx.org/financial-modeling---intro,"Chef, Tax Consultant, Nurse",4
Data Ethics - Certificate,Data Ethics,YouTube,https://youtube.org/data-ethics---certificate,UI Designer,40
Sales Techniques - Intro,Sales Techniques,Kaggle,https://kaggle.org/sales-techniques---intro,"Electrical Engineer, Industrial Designer, Test Automation Engineer, Procurement Specialist",80
NLP with Transformers - Certificate,NLP with Transformers,YouTube,https://youtube.org/nlp-with-transformers---certificate,"UX Designer, Architect, Content Strategist, Frontend Developer",24
Public Health Basics - Certificate,Public Health Basics,Coursera,https://coursera.org/public-health-basics---certificate,Network Engineer,12
Sustainability and ESG - Certificate,Sustainability and ESG,Coursera,https://coursera.org/sustainability-and-esg---certificate,Dentist,12
Video Editing - Advanced,Video Editing,edX,https://edx.org/video-editing---advanced,"Electrical Engineer, Civil Engineer, Real Estate Agent, Content Strategist",12
Node.js APIs - Certificate,Node.js APIs,edX,https://edx.org/node.js-apis---certificate,"Nurse, Robotics Engineer, Civil Engineer",80
Embedded Systems - Certificate,Embedded Systems,Udemy,https://udemy.org/embedded-systems---certificate,"Urban Planner, Human Resources Manager, Procurement Specialist, Sustainability Analyst",8
Instructional Design - Certificate,Instructional Design,Coursera,https://coursera.org/instructional-design---certificate,"Architect, Pharmacist, Landscape Architect",8
Embedded Systems - Bootcamp,Embedded Systems,Udemy,https://udemy.org/embedded-systems---bootcamp,Human Resources Manager,8
Negotiation Skills - Advanced,Negotiation Skills,Udemy,https://udemy.org/negotiation-skills---advanced,"Urban Planner, Tax Consultant",24
Animation Basics - Intro,Animation Basics,Fast.ai,https://fast.ai.org/animation-basics---intro,"Systems Engineer, Digital Marketing Specialist, Embedded Systems Engineer, Speech Recognition Engineer",8
Legal Research - Certificate,Legal Research,YouTube,https://youtube.org/legal-research---certificate,"Mobile Developer (iOS), College Lecturer, Curriculum Developer",8
Video Editing - Certificate,Video Editing,edX,https://edx.org/video-editing---certificate,"Electrical Engineer, Marketing Manager, Systems Engineer, Data Analyst",40
Public Health Basics - Intermediate,Public Health Basics,Pluralsight,https://pluralsight.org/public-health-basics---intermediate,"Product Manager, Backend Developer, Sustainability Analyst, Quality Assurance Engineer",12
Node.js APIs - Intermediate,Node.js APIs,Pluralsight,https://pluralsight.org/node.js-apis---intermediate,"Electrical Engineer, Nutritionist, Data Scientist",40
Civil Engineering Fundamentals - Intermediate,Civil Engineering Fundamentals,LinkedIn Learning,https://linkedinlearning.org/civil-engineering-fundamentals---intermediate,"Instructional Designer, Full Stack Developer, Business Development Manager, Urban Planner",4
Public Health Basics - Intermediate,Public Health Basics,Pluralsight,https://pluralsight.org/public-health-basics---intermediate,Mechanical Engineer,4
Animation Basics - Intermediate,Animation Basics,Fast.ai,https://fast.ai.org/animation-basics---intermediate,"Paralegal, DevOps Engineer, SEO Specialist",80
